Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
21/02/2023,105.31,104.01,106.12,103.51,7.20M,1.14%,-0.123366353
22/02/2023,104.08,105.48,105.48,102.96,7.93M,-1.17%,-0.123979463
23/02/2023,105.43,106,106.4,104.07,6.10M,1.30%,-0.124117305
24/02/2023,105.25,104.17,105.55,103.36,5.62M,-0.17%,-0.15563578
27/02/2023,105.86,105.17,106.18,103.44,7.43M,0.58%,-0.143596796
28/02/2023,103.35,106.66,107.31,103.31,8.77M,-2.37%,-0.142537128
01/03/2023,106.25,103.73,107.68,103.23,6.06M,2.81%,-0.128169361
02/03/2023,108.33,106.07,108.96,105.78,5.46M,1.96%,-0.079609176
03/03/2023,108.64,106.27,109.08,105.82,7.08M,0.29%,-0.023899371
06/03/2023,109.56,107.58,109.6,107.1,6.20M,0.85%,0.013412265
07/03/2023,107.65,108.59,108.92,106.67,4.97M,-1.74%,0.001488511
08/03/2023,107.23,107,108.53,105.76,4.58M,-0.39%,-0.042760221
09/03/2023,105.81,107.92,109.25,105.36,5.19M,-1.32%,-0.044949905
10/03/2023,104.22,105.73,107.33,103.6,5.31M,-1.50%,-0.051942145
13/03/2023,100.68,102,103.58,99.57,8.79M,-3.40%,-0.124978272
14/03/2023,101.36,101.05,104.42,99.62,7.09M,0.68%,-0.097497997
15/03/2023,95.24,97.42,98.71,93.59,10.66M,-6.04%,-0.16125055
16/03/2023,96.4,92.01,96.5,91.53,10.11M,1.22%,-0.13658755
17/03/2023,94.39,96.35,96.95,93.5,17.06M,-2.09%,-0.128922111
20/03/2023,96.16,94.84,96.89,94.71,7.93M,1.88%,-0.07645025
21/03/2023,99.71,98.09,100.09,98,6.77M,3.69%,-0.053176337
22/03/2023,98.37,100,101.09,98.29,5.64M,-1.34%,-0.054861645
23/03/2023,96.42,98.51,99.76,95.5,5.87M,-1.98%,-0.085459547
24/03/2023,95.43,94.56,95.9,93.26,8.39M,-1.03%,-0.093301663
27/03/2023,97.48,96.31,98.5,95.6,6.05M,2.15%,-0.079161156
28/03/2023,97.93,96.61,98.69,96.43,3.79M,0.46%,-0.052443154
29/03/2023,99.75,99.64,100.3,98.67,7.60M,1.86%,-0.061176471
30/03/2023,99.25,100.61,100.86,98.87,5.46M,-0.50%,-0.083817964
31/03/2023,99.21,99.81,99.9,98.94,7.71M,-0.04%,-0.086800442
03/04/2023,108.42,105.13,109.14,105.01,12.39M,9.28%,-0.010405257
04/04/2023,106.3,108.33,108.77,105.11,5.43M,-1.96%,-0.012540641
05/04/2023,107.75,106.91,107.88,105.92,5.81M,1.36%,0.004849389
06/04/2023,106.26,106.9,107.74,105.89,5.09M,-1.38%,0.004252906
10/04/2023,105.95,107.04,108.01,105.61,4.37M,-0.29%,0.016599501
11/04/2023,106.75,106.1,107.2,105.49,4.81M,0.76%,0.060290028
12/04/2023,107.53,108.48,109.09,107.4,8.11M,0.73%,0.060872139
13/04/2023,109.04,107.94,109.9,107.12,7.16M,1.40%,0.144897102
14/04/2023,108.5,109.48,110.02,108.12,5.05M,-0.50%,0.125518672
17/04/2023,105.61,106.8,107.69,105.52,6.28M,-2.66%,0.118868524
18/04/2023,104.95,104.99,105.7,104.1,7.75M,-0.62%,0.09141015
19/04/2023,105.26,103.85,105.81,103.5,4.72M,0.30%,0.055661418
20/04/2023,103.78,103.45,103.9,102.12,5.35M,-1.41%,0.054996442
21/04/2023,102.26,104.1,104.2,101.63,5.28M,-1.46%,0.060568347
24/04/2023,103.65,101.95,103.95,101.77,5.22M,1.36%,0.086136435
25/04/2023,102.09,101.6,102.41,100.48,5.36M,-1.51%,0.047291752
26/04/2023,100.47,101.33,102.13,99.65,4.30M,-1.59%,0.025936894
27/04/2023,101.23,100.45,101.93,99.81,4.20M,0.76%,0.014837093
28/04/2023,102.89,100.57,103.73,100.32,6.64M,1.64%,0.036675063
01/05/2023,102.53,101.58,103.01,101.13,3.64M,-0.35%,0.033464369
02/05/2023,98.64,100.88,101.39,97.48,8.10M,-3.79%,-0.090204759
03/05/2023,96.09,96.83,97.58,95.7,9.09M,-2.59%,-0.096048918
04/05/2023,97.36,96.2,98.52,95.81,6.84M,1.32%,-0.096426914
05/05/2023,100.37,101.12,101.6,98.94,5.57M,3.09%,-0.055430077
08/05/2023,100.9,102.09,102.75,100.6,5.06M,0.53%,-0.047663992
09/05/2023,101.53,100.01,102.62,99.95,4.90M,0.62%,-0.048899297
